ref,name,country,continent,knownFor,tags,imageUrl
ranthambore,Ranthambore,India,Asia,"Ranthambore National Park is one of India's finest tiger reserves set around a dramatic 10th-century fort. Visitors take safaris to spot Bengal tigers, leopards, and sloth bears, and explore the majestic Ranthambore Fort. The park features ancient banyan trees, lakes with crocodiles, and historic ruins within the wilderness, creating a unique wildlife experience.","['Wildlife', 'Tiger reserve', 'Forts']",https://storage.googleapis.com/tripedia-images/destinations/ranthambore.jpg
agartala,Agartala,India,Asia,"Agartala is the capital of Tripura state in Northeast India, known for its Indo-Bangla cultural blend. Visitors explore the impressive Ujjayanta Palace, serene Neermahal water palace, and numerous temples. The city offers insights into Bengali and tribal cultures, bamboo handicrafts, and serves as a gateway to exploring Tripura's cultural and natural attractions.","['Northeast', 'Palace', 'Cultural']",https://storage.googleapis.com/tripedia-images/destinations/agartala.jpg
khandala,Khandala,India,Asia,"Khandala is a hill station in the Western Ghats, popular for weekend getaways from Mumbai. Visitors enjoy panoramic views from Duke's Nose, trek to Rajmachi Fort, and witness the scenic Kune Falls. The area offers lush green landscapes during monsoon, hiking trails, misty mountains, and proximity to attractions like Lonavala and Karla Caves.","['Hill station', 'Weekend getaway', 'Monsoon']",https://storage.googleapis.com/tripedia-images/destinations/khandala.jpg
kalimpong,Kalimpong,India,Asia,"Kalimpong is a hill station in West Bengal known for its panoramic valley views and colonial architecture. Visitors explore Buddhist monasteries, orchid and flower nurseries, and the historic Durpin Monastery. The town offers adventure activities, Himalayan vistas, Tibetan and Bhutanese influences, and a more peaceful alternative to nearby Darjeeling.","['Hill station', 'Buddhist', 'Off-the-beaten-path']",https://storage.googleapis.com/tripedia-images/destinations/kalimpong.jpg
thanjavur,Thanjavur,India,Asia,"Thanjavur is the ancient capital of the Chola dynasty, home to the UNESCO-listed Brihadeeswarar Temple. Visitors marvel at the massive temple with its 216-foot high vimana, explore the Royal Palace with its art gallery, and shop for bronze statues and Tanjore paintings. The city offers classical South Indian music and dance, ancient Tamil culture, and architectural masterpieces.","['Heritage', 'Temples', 'Art']",https://storage.googleapis.com/tripedia-images/destinations/thanjavur.jpg
bhubaneswar,Bhubaneswar,India,Asia,"Bhubaneswar is known as the 'Temple City of India' with over 700 ancient temples. Visitors explore the intricately carved Lingaraj Temple, the UNESCO-listed Konark Sun Temple nearby, and the ancient caves of Udayagiri and Khandagiri. The city offers Odissi classical dance performances, traditional handicrafts, and a blend of ancient heritage with modern development.","['Temples', 'Heritage', 'Cultural']",https://storage.googleapis.com/tripedia-images/destinations/bhubaneswar.jpg
ajmer,Ajmer,India,Asia,"Ajmer is home to the revered Sufi shrine of Khwaja Moinuddin Chishti that attracts pilgrims of all faiths. Visitors pay respects at the Dargah Sharif, explore the massive Taragarh Fort, and visit the serene Ana Sagar Lake. The city offers insights into Sufi traditions, multi-religious harmony, and serves as a gateway to nearby Pushkar.","['Spiritual', 'Sufi', 'Pilgrimage']",https://storage.googleapis.com/tripedia-images/destinations/ajmer.jpg
aurangabad,Aurangabad,India,Asia,"Aurangabad serves as the gateway to the UNESCO-listed Ajanta and Ellora Caves. Visitors explore the Bibi ka Maqbara (mini Taj Mahal), Daulatabad Fort, and the ancient water system of Panchakki. The city offers Paithani silk weaving traditions, Mughal heritage, and access to some of India's most impressive archaeological sites.","['Heritage', 'Gateway', 'Mughal']",https://storage.googleapis.com/tripedia-images/destinations/aurangabad.jpg
jammu,Jammu,India,Asia,"Jammu is known as the 'City of Temples' and serves as the winter capital of Jammu and Kashmir. Visitors explore the Bahu Fort, Raghunath Temple complex, and the marble-domed Amar Mahal Palace. The city offers a blend of Dogra culture, historic temples, and serves as the starting point for pilgrimages to Vaishno Devi shrine.","['Temples', 'Heritage', 'Gateway']",https://storage.googleapis.com/tripedia-images/destinations/jammu.jpg
dehradun,Dehradun,India,Asia,"Dehradun is the capital of Uttarakhand, nestled in the Doon Valley with pleasant climate and mountain views. Visitors explore Robber's Cave, the Forest Research Institute's colonial architecture, and the Mindrolling Monastery. The city offers educational institutions, Himalayan vistas, and serves as a gateway to popular hill stations like Mussoorie.","['Valley', 'Educational', 'Gateway']",https://storage.googleapis.com/tripedia-images/destinations/dehradun.jpg
puri,Puri,India,Asia,"Puri is one of Hinduism's four holy Char Dham sites and home to the famous Jagannath Temple. Visitors witness the massive Rath Yatra chariot festival, explore the intricate Sun Temple at nearby Konark, and relax on Puri Beach. The town offers insights into Odisha's rich traditions, sand art exhibitions, and spiritual experiences on India's eastern coast.","['Spiritual', 'Beach', 'Pilgrimage']",https://storage.googleapis.com/tripedia-images/destinations/puri.jpg
kanha_national_park,Kanha National Park,India,Asia,"Kanha National Park is one of India's largest tiger reserves and the inspiration for Rudyard Kipling's 'The Jungle Book.' Visitors come for wildlife safaris to spot Bengal tigers, leopards, sloth bears, and barasingha deer. The park features extensive sal forests, meadows, and streams, offering one of the best-managed wildlife experiences in Asia.","['Wildlife', 'National park', 'Tiger reserve']",https://storage.googleapis.com/tripedia-images/destinations/kanha_national_park.jpg
mysore,Mysore,India,Asia,"Mysore is known for its magnificent Mysore Palace, which is illuminated with thousands of lights during Dasara festival. Visitors explore opulent palaces, the historic Devaraja Market, and ascend Chamundi Hills for panoramic views. The city is famous for its silk, sandalwood products, traditional Mysore Pak sweet, and as the birthplace of Ashtanga yoga.","['Heritage', 'Palace', 'Cultural']",https://storage.googleapis.com/tripedia-images/destinations/mysore.jpg
chandigarh,Chandigarh,India,Asia,"Chandigarh is India's first planned city, designed by Swiss-French architect Le Corbusier. Visitors explore the Rock Garden created from industrial and urban waste, Sukhna Lake, and the Capitol Complex. The city is known for its grid-like layout, modern architecture, well-maintained gardens, and as the capital of two states: Punjab and Haryana.","['Planned city', 'Architecture', 'Modern']",https://storage.googleapis.com/tripedia-images/destinations/chandigarh.jpg
hampi,Hampi,India,Asia,"Hampi is a UNESCO World Heritage Site featuring ruins of the Vijayanagara Empire. Visitors explore ancient temples, massive stone chariots, ornate pavilions, and royal complexes amid surreal boulder-strewn landscapes. The area offers insight into medieval South Indian architecture, coracle boat rides on the Tungabhadra River, and spectacular sunset views.","['Heritage', 'Ruins', 'Architecture']",https://storage.googleapis.com/tripedia-images/destinations/hampi.jpg
gulmarg,Gulmarg,India,Asia,"Gulmarg is a premier ski destination in Kashmir with one of Asia's highest gondola rides. Visitors enjoy skiing and snowboarding in winter, golfing at one of the world's highest golf courses in summer, and trekking with Himalayan views. The hill station offers alpine meadows, pine forests, and panoramic vistas of Nanga Parbat.","['Skiing', 'Mountain', 'Adventure']",https://storage.googleapis.com/tripedia-images/destinations/gulmarg.jpg
almora,Almora,India,Asia,"Almora is a historic hill station in Uttarakhand known for its cultural heritage and panoramic Himalayan views. Visitors explore ancient temples, colonial-era buildings, and the famous Bright End Corner for sunset views. The town offers traditional Kumaoni culture, copper craft, pine and oak forests, and spectacular views of Nanda Devi peak.","['Hill station', 'Cultural', 'Off-the-beaten-path']",https://storage.googleapis.com/tripedia-images/destinations/almora.jpg
shirdi,Shirdi,India,Asia,"Shirdi is the spiritual home of Sai Baba, drawing millions of devotees annually. Visitors pay respects at the Sai Baba Temple, experience the Dwarkamai mosque where he lived, and attend aartis and bhajans. The town offers a glimpse into the saint's life through museums, serves prasad to all visitors, and embodies a spirit of religious harmony.","['Spiritual', 'Pilgrimage', 'Religious']",https://storage.googleapis.com/tripedia-images/destinations/shirdi.jpg
auli,Auli,India,Asia,"Auli is an emerging ski destination with pristine slopes and breathtaking views of Nanda Devi. Visitors enjoy skiing in winter, cable car rides offering panoramic vistas, and trekking during summer months. The hill station features apple orchards, coniferous forests, and the man-made Auli Lake, all set against a backdrop of snow-capped Himalayan peaks.","['Skiing', 'Mountain', 'Adventure']",https://storage.googleapis.com/tripedia-images/destinations/auli.jpg
madurai,Madurai,India,Asia,"Madurai is one of India's oldest cities, centered around the magnificent Meenakshi Amman Temple. Visitors explore the temple's towering gopurams (gateway towers), witness evening rituals, and wander through the historic Thirumalai Nayak Palace. The city offers authentic Tamil culture, vibrant textile markets, and delicious South Indian cuisine.","['Heritage', 'Temples', 'Cultural']",https://storage.googleapis.com/tripedia-images/destinations/madurai.jpg
amarnath,Amarnath,India,Asia,"Amarnath is a sacred cave shrine housing a naturally formed ice lingam of Lord Shiva. Visitors undertake a challenging pilgrimage through spectacular Himalayan landscapes to reach the cave at 3,888 meters. The journey offers spiritual fulfillment, stunning mountain scenery, and participation in one of Hinduism's most arduous and revered pilgrimages.","['Pilgrimage', 'Spiritual', 'Mountain']",https://storage.googleapis.com/tripedia-images/destinations/amarnath.jpg
bodh_gaya,Bodh Gaya,India,Asia,"Bodh Gaya is where Buddha attained enlightenment under the Bodhi Tree and one of Buddhism's holiest sites. Visitors meditate at the Mahabodhi Temple Complex, explore monasteries built by various Buddhist countries, and experience the peaceful atmosphere. The town offers insights into Buddhist philosophy, meditation retreats, and ancient archaeological sites.","['Spiritual', 'Buddhist', 'Pilgrimage']",https://storage.googleapis.com/tripedia-images/destinations/bodh_gaya.jpg
mahabaleshwar,Mahabaleshwar,India,Asia,"Mahabaleshwar is a hill station in the Western Ghats known for its strawberry farms and numerous viewpoints. Visitors enjoy panoramic views from Arthur's Seat, boat on Venna Lake, and sample fresh strawberries and cream. The region offers pleasant climate, dense forests, cascading waterfalls, and a colonial-era charm from its time as a summer retreat.","['Hill station', 'Viewpoints', 'Strawberries']",https://storage.googleapis.com/tripedia-images/destinations/mahabaleshwar.jpg
visakhapatnam,Visakhapatnam,India,Asia,"Visakhapatnam, also known as Vizag, is a coastal city with pristine beaches and hills. Visitors explore Ramakrishna Beach, INS Kursura Submarine Museum, and natural wonders like Araku Valley. The city offers a submarine museum, cave formations, tribal culture in surrounding areas, and delicious seafood cuisine.","['Beach', 'Port city', 'Scenic']",https://storage.googleapis.com/tripedia-images/destinations/visakhapatnam.jpg
kasol,Kasol,India,Asia,"Kasol is a village in Himachal Pradesh known for its hippie culture and Israeli influence. Visitors trek to Kheerganga, explore nearby Malana village, and relax along the Parvati River. The area offers stunning Himalayan landscapes, Israeli cuisine, trekking opportunities, and a laid-back atmosphere popular with backpackers and nature lovers.","['Hippie', 'Trekking', 'River']",https://storage.googleapis.com/tripedia-images/destinations/kasol.jpg
nashik,Nashik,India,Asia,"Nashik is one of Hinduism's holiest cities and India's wine capital. Visitors explore riverside ghats, attend the Kumbh Mela held every 12 years, and tour vineyards in the surrounding countryside. The city offers ancient temples, wine tasting experiences, the Trimbakeshwar Shiva Temple, and proximity to Pandavleni Caves.","['Spiritual', 'Wine region', 'Heritage']",https://storage.googleapis.com/tripedia-images/destinations/nashik.jpg
jim_corbett_national_park,Jim Corbett National Park,India,Asia,"Jim Corbett National Park is India's oldest national park and a renowned tiger reserve. Visitors take jeep and elephant safaris to spot Bengal tigers, Asian elephants, and diverse birdlife. The park features varied landscapes from riverine belts to grasslands, the Ramganga Reservoir, and historic association with the hunter-conservationist Jim Corbett.","['Wildlife', 'National park', 'Tiger reserve']",https://storage.googleapis.com/tripedia-images/destinations/jim_corbett_national_park.jpg
gwalior,Gwalior,India,Asia,"Gwalior is dominated by its massive hilltop fort considered one of India's most impregnable. Visitors explore the fort with its palaces and temples, the elaborate Jai Vilas Palace, and Man Singh Palace with its distinctive blue tilework. The city offers rich classical music heritage as the birthplace of Tansen, historical architecture, and traditional handicrafts.","['Forts', 'Heritage', 'Historical']",https://storage.googleapis.com/tripedia-images/destinations/gwalior.jpg
jog_falls,Jog Falls,India,Asia,"Jog Falls is the second-highest plunge waterfall in India, where the Sharavathi River drops dramatically in four distinct cascades. Visitors witness the magnificent spectacle of water plunging 830 feet, hike to the bottom for a different perspective, and explore the surrounding Western Ghats landscape. The falls are most impressive during monsoon season.","['Waterfall', 'Nature', 'Scenic']",https://storage.googleapis.com/tripedia-images/destinations/jog_falls.jpg
alibaug,Alibaug,India,Asia,"Alibaug is a coastal town and popular weekend getaway from Mumbai. Visitors enjoy beaches like Alibaug and Nagaon, explore the historic Kolaba Fort accessible during low tide, and experience water sports. The town offers seafood cuisine, beachside camping, and a more relaxed alternative to Goa with Maharashtrian coastal culture.","['Beach', 'Weekend getaway', 'Coastal']",https://storage.googleapis.com/tripedia-images/destinations/alibaug.jpg
rameshwaram,Rameshwaram,India,Asia,"Rameshwaram is a sacred island town connected to the Ramayana epic as the place where Lord Rama built a bridge to Lanka. Visitors bathe in the 22 holy wells of Ramanathaswamy Temple, visit Dhanushkodi ghost town, and walk on Pamban Bridge. The town offers pristine beaches, pilgrimage sites, and the southernmost point of the Indian railway network.","['Spiritual', 'Pilgrimage', 'Coastal']",https://storage.googleapis.com/tripedia-images/destinations/rameshwaram.jpg
vrindavan,Vrindavan,India,Asia,"Vrindavan is where Lord Krishna spent his childhood and is dotted with temples dedicated to him. Visitors attend elaborate worship ceremonies with music and dance, explore sacred groves where Krishna played, and experience the vibrant Holi celebrations. The town offers insights into Krishna devotion, ashrams, and the traditions of the widows of Vrindavan.","['Spiritual', 'Krishna', 'Pilgrimage']",https://storage.googleapis.com/tripedia-images/destinations/vrindavan.jpg
coimbatore,Coimbatore,India,Asia,"Coimbatore is an industrial city known as the 'Manchester of South India' with proximity to scenic Western Ghats. Visitors explore the Marudamalai Temple, Dhyanalinga Yogic Temple, and take day trips to nearby hill stations. The city offers textile shopping, South Indian cuisine, pleasant climate, and the massive Adiyogi Shiva statue nearby.","['Industrial', 'Temples', 'Gateway']",https://storage.googleapis.com/tripedia-images/destinations/coimbatore.jpg
digha,Digha,India,Asia,"Digha is a popular seaside resort town in West Bengal known for its gentle sea with a shallow sand beach. Visitors enjoy sunrise and sunset views at the beach, visit the Marine Aquarium and Research Centre, and explore the Amarabati Park. The town offers seafood cuisine, camel rides on the beach, and a laid-back coastal atmosphere.","['Beach', 'Weekend getaway', 'Seaside']",https://storage.googleapis.com/tripedia-images/destinations/digha.jpg
dharamshala,Dharamshala,India,Asia,"Dharamshala is home to the Dalai Lama and the Tibetan government-in-exile. Visitors learn about Tibetan culture at monasteries and the Tibet Museum, trek to Triund Hill, and enjoy panoramic Himalayan views. The area offers meditation retreats, Tibetan cuisine, cricket matches at one of the world's most scenic stadiums, and a vibrant expatriate community.","['Mountain', 'Buddhist', 'Tibetan culture']",https://storage.googleapis.com/tripedia-images/destinations/dharamshala.jpg
kovalam,Kovalam,India,Asia,"Kovalam is a beach town in Kerala known for its crescent-shaped beaches and Ayurvedic treatments. Visitors relax on Lighthouse Beach, undergo rejuvenating Ayurvedic spa therapies, and watch fishermen with their traditional catamarans. The town offers seafood cuisine, water sports, and a more developed beach experience than many other Kerala coastal areas.","['Beach', 'Ayurveda', 'Relaxation']",https://storage.googleapis.com/tripedia-images/destinations/kovalam.jpg
kaziranga_national_park,Kaziranga National Park,India,Asia,"Kaziranga National Park is a UNESCO World Heritage Site and home to two-thirds of the world's one-horned rhinoceroses. Visitors take jeep and elephant safaris to spot rhinos, tigers, elephants, and water buffalo. The park features diverse habitats from grasslands to forests, the mighty Brahmaputra River, and successful conservation efforts.","['Wildlife', 'National park', 'Rhinos']",https://storage.googleapis.com/tripedia-images/destinations/kaziranga_national_park.jpg
madikeri,Madikeri,India,Asia,"Madikeri is the main town in the coffee-growing region of Coorg, set amidst misty hills. Visitors explore the historic Madikeri Fort, Abbey Falls, and Raja's Seat for sunset views over the valleys. The town offers coffee plantation tours, insights into Kodava culture, homestay experiences, and access to trekking trails in the Western Ghats.","['Hill station', 'Coffee plantations', 'Nature']",https://storage.googleapis.com/tripedia-images/destinations/madikeri.jpg
matheran,Matheran,India,Asia,"Matheran is Asia's only automobile-free hill station, accessed by a narrow-gauge toy train. Visitors explore numerous viewpoints like Echo Point and Panorama Point on foot or horseback, and experience the peaceful environment free from vehicle pollution. The hill station offers red laterite paths through forests, colonial-era architecture, and cooling respite from Mumbai's heat.","['Hill station', 'No vehicles', 'Viewpoints']",https://storage.googleapis.com/tripedia-images/destinations/matheran.jpg
ranthambore,Ranthambore,India,Asia,"Ranthambore National Park is one of India's finest tiger reserves set around a dramatic 10th-century fort. Visitors take safaris to spot Bengal tigers, leopards, and sloth bears, and explore the majestic Ranthambore Fort. The park features ancient banyan trees, lakes with crocodiles, and historic ruins within the wilderness, creating a unique wildlife experience.","['Wildlife', 'Tiger reserve', 'Forts']",https://storage.googleapis.com/tripedia-images/destinations/ranthambore.jpg
agartala,Agartala,India,Asia,"Agartala is the capital of Tripura state in Northeast India, known for its Indo-Bangla cultural blend. Visitors explore the impressive Ujjayanta Palace, serene Neermahal water palace, and numerous temples. The city offers insights into Bengali and tribal cultures, bamboo handicrafts, and serves as a gateway to exploring Tripura's cultural and natural attractions.","['Northeast', 'Palace', 'Cultural']",https://storage.googleapis.com/tripedia-images/destinations/agartala.jpg
khandala,Khandala,India,Asia,"Khandala is a hill station in the Western Ghats, popular for weekend getaways from Mumbai. Visitors enjoy panoramic views from Duke's Nose, trek to Rajmachi Fort, and witness the scenic Kune Falls. The area offers lush green landscapes during monsoon, hiking trails, misty mountains, and proximity to attractions like Lonavala and Karla Caves.","['Hill station', 'Weekend getaway', 'Monsoon']",https://storage.googleapis.com/tripedia-images/destinations/khandala.jpg
kalimpong,Kalimpong,India,Asia,"Kalimpong is a hill station in West Bengal known for its panoramic valley views and colonial architecture. Visitors explore Buddhist monasteries, orchid and flower nurseries, and the historic Durpin Monastery. The town offers adventure activities, Himalayan vistas, Tibetan and Bhutanese influences, and a more peaceful alternative to nearby Darjeeling.","['Hill station', 'Buddhist', 'Off-the-beaten-path']",https://storage.googleapis.com/tripedia-images/destinations/kalimpong.jpg
thanjavur,Thanjavur,India,Asia,"Thanjavur is the ancient capital of the Chola dynasty, home to the UNESCO-listed Brihadeeswarar Temple. Visitors marvel at the massive temple with its 216-foot high vimana, explore the Royal Palace with its art gallery, and shop for bronze statues and Tanjore paintings. The city offers classical South Indian music and dance, ancient Tamil culture, and architectural masterpieces.","['Heritage', 'Temples', 'Art']",https://storage.googleapis.com/tripedia-images/destinations/thanjavur.jpg
bhubaneswar,Bhubaneswar,India,Asia,"Bhubaneswar is known as the 'Temple City of India' with over 700 ancient temples. Visitors explore the intricately carved Lingaraj Temple, the UNESCO-listed Konark Sun Temple nearby, and the ancient caves of Udayagiri and Khandagiri. The city offers Odissi classical dance performances, traditional handicrafts, and a blend of ancient heritage with modern development.","['Temples', 'Heritage', 'Cultural']",https://storage.googleapis.com/tripedia-images/destinations/bhubaneswar.jpg
ajmer,Ajmer,India,Asia,"Ajmer is home to the revered Sufi shrine of Khwaja Moinuddin Chishti that attracts pilgrims of all faiths. Visitors pay respects at the Dargah Sharif, explore the massive Taragarh Fort, and visit the serene Ana Sagar Lake. The city offers insights into Sufi traditions, multi-religious harmony, and serves as a gateway to nearby Pushkar.","['Spiritual', 'Sufi', 'Pilgrimage']",https://storage.googleapis.com/tripedia-images/destinations/ajmer.jpg
aurangabad,Aurangabad,India,Asia,"Aurangabad serves as the gateway to the UNESCO-listed Ajanta and Ellora Caves. Visitors explore the Bibi ka Maqbara (mini Taj Mahal), Daulatabad Fort, and the ancient water system of Panchakki. The city offers Paithani silk weaving traditions, Mughal heritage, and access to some of India's most impressive archaeological sites.","['Heritage', 'Gateway', 'Mughal']",https://storage.googleapis.com/tripedia-images/destinations/aurangabad.jpg
jammu,Jammu,India,Asia,"Jammu is known as the 'City of Temples' and serves as the winter capital of Jammu and Kashmir. Visitors explore the Bahu Fort, Raghunath Temple complex, and the marble-domed Amar Mahal Palace. The city offers a blend of Dogra culture, historic temples, and serves as the starting point for pilgrimages to Vaishno Devi shrine.","['Temples', 'Heritage', 'Gateway']",https://storage.googleapis.com/tripedia-images/destinations/jammu.jpg
dehradun,Dehradun,India,Asia,"Dehradun is the capital of Uttarakhand, nestled in the Doon Valley with pleasant climate and mountain views. Visitors explore Robber's Cave, the Forest Research Institute's colonial architecture, and the Mindrolling Monastery. The city offers educational institutions, Himalayan vistas, and serves as a gateway to popular hill stations like Mussoorie.","['Valley', 'Educational', 'Gateway']",https://storage.googleapis.com/tripedia-images/destinations/dehradun.jpg
puri,Puri,India,Asia,"Puri is one of Hinduism's four holy Char Dham sites and home to the famous Jagannath Temple. Visitors witness the massive Rath Yatra chariot festival, explore the intricate Sun Temple at nearby Konark, and relax on Puri Beach. The town offers insights into Odisha's rich traditions, sand art exhibitions, and spiritual experiences on India's eastern coast.","['Spiritual', 'Beach', 'Pilgrimage']",https://storage.googleapis.com/tripedia-images/destinations/puri.jpg
cherrapunji,Cherrapunji,India,Asia,"Cherrapunji is famous for being one of the wettest places on Earth, with breathtaking waterfalls, lush green landscapes, and living root bridges created by the Khasi tribes.","['Waterfalls', 'Rainforest', 'Off-the-beaten-path']",https://example.com/cherrapunji.jpg
bikaner,Bikaner,India,Asia,"Bikaner is known for its stunning palaces, historic forts, and the famous Karni Mata Temple, home to thousands of rats. It also boasts delicious snacks like Bikaneri bhujia.","['Desert', 'Heritage', 'Foodie haven']",https://example.com/bikaner.jpg
shimoga,Shimoga (Shivamogga),India,Asia,"Shimoga, also known as the 'Gateway to the Western Ghats,' is famous for its lush forests, scenic waterfalls like Jog Falls, and rich biodiversity.","['Waterfalls', 'Nature', 'Adventure']",https://example.com/shimoga.jpg
hogenakkal,Hogenakkal,India,Asia,"Hogenakkal is often called the 'Niagara of India,' known for its stunning waterfalls on the Kaveri River and unique coracle boat rides.","['Waterfalls', 'Boating', 'Photography']",https://example.com/hogenakkal.jpg
gir_national_park,Gir National Park,India,Asia,"Gir National Park is the last refuge of the Asiatic lions and a paradise for wildlife lovers, offering thrilling safari experiences.","['Wildlife', 'Safari', 'Nature']",https://example.com/gir_national_park.jpg
kasauli,Kasauli,India,Asia,"Kasauli is a peaceful hill station in Himachal Pradesh, known for its colonial charm, pine forests, and scenic hiking trails.","['Hill station', 'Nature', 'Relaxation']",https://example.com/kasauli.jpg
pushkar,Pushkar,India,Asia,"Pushkar is famous for its sacred Pushkar Lake, the only Brahma temple in the world, and the vibrant Pushkar Camel Fair.","['Religious', 'Cultural', 'Festival']",https://example.com/pushkar.jpg
chittorgarh,Chittorgarh,India,Asia,"Chittorgarh is home to the largest fort in India, a UNESCO World Heritage Site, known for its rich history, palaces, and tales of Rajput valor.","['Fort', 'History', 'Heritage']",https://example.com/chittorgarh.jpg
nahan,Nahan,India,Asia,"Nahan is a picturesque hill town in Himachal Pradesh, offering serene landscapes, temples, and a perfect getaway for nature lovers.","['Hill station', 'Nature', 'Peaceful retreat']",https://example.com/nahan.jpg
lavasa,Lavasa,India,Asia,"Lavasa is a planned hill city near Pune, inspired by European architecture, offering beautiful lakefront views and adventure activities.","['Modern city', 'Lakeside', 'Adventure']",https://example.com/lavasa.jpg
poovar,Poovar,India,Asia,"Poovar is a stunning coastal village in Kerala, known for its golden sand beaches, backwaters, and floating cottages.","['Beaches', 'Backwaters', 'Luxury retreat']",https://example.com/poovar.jpg
nagapattinam,Nagapattinam,India,Asia,"Nagapattinam is a historic coastal town in Tamil Nadu, known for its ancient temples, serene beaches, and cultural heritage.","['Temples', 'Beaches', 'Heritage']",https://example.com/nagapattinam.jpg
kumbakonam,Kumbakonam,India,Asia,"Kumbakonam is a temple town in Tamil Nadu, famous for its numerous ancient temples, vibrant festivals, and traditional silk weaving.","['Temples', 'Festivals', 'Cultural']",https://example.com/kumbakonam.jpg
kanyakumari,Kanyakumari,India,Asia,"Kanyakumari is the southernmost tip of India, known for its stunning sunrises and sunsets, Vivekananda Rock Memorial, and Thiruvalluvar Statue.","['Coastal', 'Sunrise', 'Sunset']",https://example.com/kanyakumari.jpg
kochi,Kochi,India,Asia,"Kochi, also known as Cochin, is a historic port city in Kerala, famous for its Chinese fishing nets, Jewish synagogue, and colonial architecture.","['Heritage', 'Port city', 'Cultural']",https://example.com/kochi.jpg
kodaikanal,Kodaikanal,India,Asia,"Kodaikanal is a serene hill station in Tamil Nadu, known for its misty landscapes, scenic lakes, and the sacred Kurinji Andavar Temple.","['Hill station', 'Nature', 'Peaceful retreat']",https://example.com/kodaikanal.jpg
amsterdam,Amsterdam,Netherlands,Europe,"Amsterdam is famous for its picturesque canals, vibrant nightlife, historic museums, and cycling culture.","['Canals', 'Museums', 'Nightlife']",https://example.com/amsterdam.jpg
berlin,Berlin,Germany,Europe,"Berlin is known for its rich history, modern art scene, iconic landmarks such as the Brandenburg Gate, and lively culture.","['History', 'Culture', 'Nightlife']",https://example.com/berlin.jpg
copenhagen,Copenhagen,Denmark,Europe,"Copenhagen is a charming city known for its colorful Nyhavn harbor, bicycle-friendly streets, and world-class cuisine.","['Scenic', 'Foodie haven', 'Sustainability']",https://example.com/copenhagen.jpg
edinburgh,Edinburgh,United Kingdom,Europe,"Edinburgh is famous for its medieval Old Town, stunning Edinburgh Castle, and hosting the world-renowned Edinburgh Festival.","['History', 'Castles', 'Festivals']",https://example.com/edinburgh.jpg
florence,Florence,Italy,Europe,"Florence is the birthplace of the Renaissance, boasting stunning architecture, world-famous art, and Tuscan charm.","['Art', 'History', 'Architecture']",https://example.com/florence.jpg
lisbon,Lisbon,Portugal,Europe,"Lisbon is known for its historic tram rides, pastel-colored buildings, scenic viewpoints, and delicious custard tarts.","['Historic', 'Foodie haven', 'Scenic views']",https://example.com/lisbon.jpg
madrid,Madrid,Spain,Europe,"Madrid is Spain’s vibrant capital, known for its world-class museums, lively plazas, and exceptional gastronomy.","['Culture', 'Museums', 'Nightlife']",https://example.com/madrid.jpg
munich,Munich,Germany,Europe,"Munich is known for its rich Bavarian culture, Oktoberfest celebrations, and stunning architecture like Nymphenburg Palace.","['Beer', 'Culture', 'History']",https://example.com/munich.jpg
paris,Paris,France,Europe,"Paris is the City of Love, home to the Eiffel Tower, world-famous art museums, chic boutiques, and exquisite cuisine.","['Romance', 'Art', 'Fashion']",https://example.com/paris.jpg
stockholm,Stockholm,Sweden,Europe,"Stockholm, the Venice of the North, is known for its beautiful archipelago, vibrant cultural scene, and historic Gamla Stan.","['Scenic', 'History', 'Modern culture']",https://example.com/stockholm.jpg
vienna,Vienna,Austria,Europe,"Vienna is known for its classical music heritage, grand palaces like Schönbrunn, and delightful coffeehouse culture.","['Music', 'Palaces', 'Café culture']",https://example.com/vienna.jpg
zurich,Zurich,Switzerland,Europe,"Zurich is known for its picturesque Old Town, pristine Lake Zurich, world-class shopping, and high quality of life.","['Scenic', 'Shopping', 'Quality of life']",https://example.com/zurich.jpg
athens,Athens,Greece,Europe,"Athens is the cradle of Western civilization, known for its ancient ruins like the Acropolis, vibrant street life, and delicious cuisine.","['History', 'Culture', 'Cuisine']",https://example.com/athens.jpg
budapest,Budapest,Hungary,Europe,"Budapest is known for its stunning architecture, historic thermal baths, vibrant ruin pubs, and the scenic Danube River.","['Architecture', 'Thermal baths', 'Nightlife']",https://example.com/budapest.jpg
dubrovnik,Dubrovnik,Croatia,Europe,"Dubrovnik is known as the 'Pearl of the Adriatic,' famous for its medieval walls, historic Old Town, and stunning coastal views.","['History', 'Coastal', 'Scenic views']",https://example.com/dubrovnik.jpg
new_york_city,New York City,United States,North America,"New York City, the 'Big Apple,' is a global hub of culture, fashion, and finance. It's known for iconic landmarks like Times Square, Central Park, and the Statue of Liberty, offering diverse experiences from world-class museums to Broadway shows.","['Urban', 'Culture', 'Landmarks']",https://storage.googleapis.com/tripedia-images/destinations/new_york_city.jpg
chicago,Chicago,United States,North America,"Chicago, known as the 'Windy City,' is famous for its stunning architecture, deep-dish pizza, and vibrant arts scene. It offers attractions like Millennium Park, the Art Institute of Chicago, and a lively music culture.","['Urban', 'Architecture', 'Culture']",https://storage.googleapis.com/tripedia-images/destinations/chicago.jpg
